Experiment,Tag,Seed,Trigger,Arch_Pair,L_Mode,Tau,Dist_Ep,Temp,V_Temp,RW,Delta,D_Min,Beta,NQ,Trig_Size,T_Acc,Base_Acc,Design,Base_Sig,Base_P,Base_Ver,FT1%_Acc,FT1%_Sig,FT1%_P,FT1%_Ver,FT5%_Acc,FT5%_Sig,FT5%_P,FT5%_Ver,FT10%_Acc,FT10%_Sig,FT10%_P,FT10%_Ver,P_Gap,FP_Rate,Min_P,Median_P,PRUNE_25%_Acc,PRUNE_25%_DeltaPP,PRUNE_25%_Sig,PRUNE_25%_P,PRUNE_25%_Log10P,PRUNE_25%_Ver,PRUNE_50%_Acc,PRUNE_50%_DeltaPP,PRUNE_50%_Sig,PRUNE_50%_P,PRUNE_50%_Log10P,PRUNE_50%_Ver,PRUNE_75%_Acc,PRUNE_75%_DeltaPP,PRUNE_75%_Sig,PRUNE_75%_P,PRUNE_75%_Log10P,PRUNE_75%_Ver,PRUNE_25%_P_MR,PRUNE_25%_P_ST1,PRUNE_50%_P_MR,PRUNE_50%_P_ST1,PRUNE_75%_P_MR,PRUNE_75%_P_ST1,INT8_QUANT_Acc,INT8_QUANT_DeltaPP,INT8_QUANT_Sig,INT8_QUANT_P,INT8_QUANT_Log10P,INT8_QUANT_Ver,INT8_QUANT_P_MR,INT8_QUANT_P_ST1
Exp1_Soft_Main,tinyimg_soft_r18_mobilenetv2_T1_b0.7_d15.0,N/A,REC,tinyresnet18 -> mobilenetv2,soft,N/A,160,1,16.5,0.1,15.0,N/A,0.7,50000,4995,60.1%,26.9%,mean_rest,0.0016,0.0e+00,True,23.2%,0.0012,0.0e+00,True,22.6%,0.0014,0.0e+00,True,21.5%,0.0013,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Exp1_Soft_Main,tinyimg_soft_r18_mobilenetv2_T3_b0.7_d15.0,N/A,REC,tinyresnet18 -> mobilenetv2,soft,N/A,160,3,16.5,0.1,15.0,N/A,0.7,50000,4973,60.1%,33.6%,mean_rest,0.0020,0.0e+00,True,27.4%,0.0012,0.0e+00,True,28.2%,0.0015,0.0e+00,True,27.1%,0.0015,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Exp1_Soft_Main,tinyimg_soft_r18_mobilenetv2_T5_b0.7_d15.0,N/A,REC,tinyresnet18 -> mobilenetv2,soft,N/A,160,5,16.5,0.1,15.0,N/A,0.7,50000,4950,60.1%,36.9%,mean_rest,0.0015,0.0e+00,True,28.3%,0.0009,0.0e+00,True,31.4%,0.0011,0.0e+00,True,30.2%,0.0011,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Exp1_Soft_Main,tinyimg_soft_r18_mobilenetv2_T10_b0.7_d15.0,N/A,REC,tinyresnet18 -> mobilenetv2,soft,N/A,160,10,16.5,0.1,15.0,N/A,0.7,50000,5003,60.1%,40.2%,mean_rest,0.0012,0.0e+00,True,30.6%,0.0007,0.0e+00,True,35.3%,0.0009,0.0e+00,True,34.0%,0.0009,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Exp1_Soft_Main,tinyimg_soft_r18_resnet18_T1_b0.7_d15.0,N/A,REC,tinyresnet18 -> resnet18,soft,N/A,160,1,16.5,0.1,15.0,N/A,0.7,50000,4963,60.1%,35.8%,mean_rest,0.0022,0.0e+00,True,31.6%,0.0020,0.0e+00,True,27.8%,0.0020,0.0e+00,True,26.3%,0.0021,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Exp1_Soft_Main,tinyimg_soft_r18_resnet18_T3_b0.7_d15.0,N/A,REC,tinyresnet18 -> resnet18,soft,N/A,160,3,16.5,0.1,15.0,N/A,0.7,50000,5016,60.1%,43.9%,mean_rest,0.0034,0.0e+00,True,37.5%,0.0030,0.0e+00,True,35.3%,0.0033,0.0e+00,True,33.8%,0.0033,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Exp1_Soft_Main,tinyimg_soft_r18_resnet18_T5_b0.7_d15.0,N/A,REC,tinyresnet18 -> resnet18,soft,N/A,160,5,16.5,0.1,15.0,N/A,0.7,50000,5080,60.1%,44.9%,mean_rest,0.0032,0.0e+00,True,37.7%,0.0028,0.0e+00,True,36.3%,0.0030,0.0e+00,True,34.5%,0.0030,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Exp1_Soft_Main,tinyimg_soft_r18_resnet18_T10_b0.7_d15.0,N/A,REC,tinyresnet18 -> resnet18,soft,N/A,160,10,16.5,0.1,15.0,N/A,0.7,50000,4912,60.1%,45.9%,mean_rest,0.0029,0.0e+00,True,38.0%,0.0024,0.0e+00,True,37.4%,0.0027,0.0e+00,True,35.7%,0.0027,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Exp2_Hard_BGS,tinyimg_bgs_r18_mobilenetv2,N/A,REC,tinyresnet18 -> mobilenetv2,hard(N/A),N/A,160,1,16.5,0.1,15.0,N/A,0.7,50000,157,60.1%,21.3%,mean_rest,98.73%,0.0e+00,True,18.4%,75.80%,5.0e-238,True,18.5%,91.72%,0.0e+00,True,18.3%,91.72%,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Exp2_Hard_BGS,tinyimg_bgs_r18_resnet18,N/A,REC,tinyresnet18 -> resnet18,hard(N/A),N/A,160,1,16.5,0.1,15.0,N/A,0.7,50000,96,60.1%,23.0%,mean_rest,100.00%,1.3e-221,True,20.6%,97.92%,2.3e-213,True,18.6%,93.75%,7.3e-199,True,19.0%,89.58%,1.4e-185,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Exp3_Soft_Prune,POSTHOC_PRUNE__tinyresnet18_resnet18__rw0.1_nq50000_T5_dl15.0_vT16.5__tinyimg_soft_r18_resnet18_T5_b0.7_d15.0,N/A,REC,tinyresnet18 -> resnet18,soft,N/A,N/A,5,16.5,0.1,15.0,0.5,0.7,50000,5080,N/A,44.9%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.6%,-1.32,0.0028,0.0e+00,-300.0,True,11.2%,-33.79,0.0005,5.4e-133,-132.27,True,0.5%,-44.44,-0.0002,1.0e+00,0.0,False,0.0e+00,0.0e+00,8.8e-189,6.1e-04,1.0e+00,1.0e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Exp3_Soft_Quantize,POSTHOC_QUANTIZE__tinyresnet18_resnet18__rw0.1_nq50000_T5_dl15.0_vT16.5__tinyimg_soft_r18_resnet18_T5_b0.7_d15.0,N/A,REC,tinyresnet18 -> resnet18,soft,N/A,N/A,5,16.5,0.1,15.0,0.5,0.7,50000,5080,N/A,44.9%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.1%,0.12,0.0032,0.0e+00,-300.0,True,0.0e+00,0.0e+00
Exp4_Soft_FP_Scan,RANDKW__tinyresnet18_resnet18__rw0.1_nq50000_T5_dl15.0_vT16.5__N100__tinyimg_soft_r18_resnet18_T5_b0.7_d15.0,N/A,REC,tinyresnet18 -> resnet18,soft,N/A,N/A,5,16.5,0.1,15.0,0.5,0.7,50000,N/A,N/A,44.9%,N/A,N/A,0.0e+00,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,293.51,0.00%,3.2e-07,1.0e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Exp7_Zero_Leakage,tinyimg_own_test_r18_resnet18,N/A,OWN,tinyresnet18 -> resnet18,soft,N/A,160,5,16.5,0.1,15.0,N/A,0.7,50000,992,60.1%,44.8%,mean_rest,0.0001,4.9e-01,False,37.6%,0.0001,6.1e-01,False,36.2%,0.0000,9.8e-01,False,34.7%,0.0000,9.9e-01,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Exp7_Zero_Leakage,tinyimg_own_train_r18_resnet18,N/A,OWN,tinyresnet18 -> resnet18,soft,N/A,160,5,16.5,0.1,15.0,N/A,0.7,50000,10074,60.1%,45.7%,mean_rest,0.0002,2.1e-22,True,38.5%,0.0002,2.0e-25,True,36.9%,0.0001,7.6e-08,False,35.4%,0.0001,1.7e-04,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Exp8_Hard_FP_Scan,RANDKW__tinyresnet18_resnet18__rw0.1_nq50000_T1_dl15.0_vT16.5__N100__tinyimg_bgs_r18_resnet18,N/A,REC,tinyresnet18 -> resnet18,hard(N/A),N/A,N/A,1,16.5,0.1,15.0,0.5,0.7,50000,N/A,N/A,23.7%,N/A,N/A,4.6e-309,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,275.69,1.00%,4.9e-25,1.0e+00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Exp8_Hard_Prune,POSTHOC_PRUNE__tinyresnet18_resnet18__rw0.1_nq50000_T1_dl15.0_vT16.5__tinyimg_bgs_r18_resnet18,N/A,REC,tinyresnet18 -> resnet18,hard(N/A),N/A,N/A,1,16.5,0.1,15.0,0.5,0.7,50000,140,N/A,23.4%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.2%,-0.23,99.29%,2.1e-318,-300.0,True,13.3%,-10.06,40.00%,5.2e-90,-89.28,True,0.7%,-22.72,0.00%,1.0e+00,0.0,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Exp9_Clean_Baseline,tinyimg_clean_baseline,N/A,REC,tinyresnet18 -> resnet18,soft,N/A,160,5,16.5,0.0,15.0,N/A,0.7,50000,0,60.1%,46.5%,mean_rest,0.0000,1.0e+00,False,39.4%,0.0000,1.0e+00,False,37.9%,0.0000,1.0e+00,False,36.0%,0.0000,1.0e+00,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
